Size, Seq, Par, Libc
100, 0.000015, 0.045442, 0.000015
100, 0.000009, 0.035713, 0.000011
100, 0.000007, 0.030837, 0.000011
100, 0.000006, 0.030891, 0.000011
100, 0.000006, 0.021397, 0.000010
1000, 0.000067, 0.131633, 0.000335
1000, 0.000066, 0.095788, 0.000328
1000, 0.000067, 0.084540, 0.000328
1000, 0.000067, 0.072705, 0.000328
1000, 0.000068, 0.092328, 0.000336
10000, 0.000787, 0.160394, 0.001360
10000, 0.000867, 0.138295, 0.001351
10000, 0.000792, 0.163913, 0.001404
10000, 0.000795, 0.160916, 0.001347
10000, 0.000785, 0.186533, 0.001357
100000, 0.013669, 0.208315, 0.013984
100000, 0.009329, 0.218380, 0.013958
100000, 0.009857, 0.214033, 0.013808
100000, 0.008957, 0.221488, 0.013936
100000, 0.008939, 0.222286, 0.013920
1000000, 0.101752, 0.354681, 0.159097
1000000, 0.138037, 0.352464, 0.159522
1000000, 0.103186, 0.363930, 0.163281
1000000, 0.102144, 0.354310, 0.158293
1000000, 0.146776, 0.369745, 0.164245
10000000, 1.164432, 2.299742, 1.853961
10000000, 1.157170, 2.343424, 1.953988
10000000, 1.175646, 2.458813, 1.839459
10000000, 1.180577, 2.288537, 1.842539
10000000, 1.156996, 2.470669, 1.837626
100000000, 13.096425, 23.162357, 21.632112
100000000, 13.239703, 23.064707, 21.767428
100000000, 12.994870, 22.785736, 21.674761
100000000, 13.081990, 23.714405, 21.659955
100000000, 13.029224, 23.714587, 21.665129
